text,label,conf_pos,conf_neg
three five perman member franc russia china push u.n. secur council lift embargo iraq,1,0.8,0.19999999999999996
govern announc last week plan rais oil price,0,0.3,0.7
seiler report miss march num2 found four day later marsh near campu apart,1,0.6,0.4
afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday,1,0.9,0.09999999999999998
bugbear viru infect comput run window oper system unpatch version internet explor num,0,0.4,0.6
three-day g8 summit take place scotland,1,1.0,0.0
white hous ignor zinni 's opposit iraq war,0,0.3,0.7
teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num,1,0.8,0.19999999999999996
turkey not favor unit state use turkish base conflict not affect turkey,0,0.6,0.4
lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri,1,0.9,0.09999999999999998
terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq,0,0.3,0.7
rio arrest student april interf anoth offic answer polic call loud parti,0,0.2,0.8
council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup,1,0.9,0.09999999999999998
vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet,0,0.2,0.8
crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc,0,0.2,0.8
internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe,1,0.8,0.19999999999999996
german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt,1,0.9,0.09999999999999998
across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot,1,0.9,0.09999999999999998
britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant,0,0.4,0.6
msf unnerv taliban accus member spi u.,0,0.5,0.5
iraq claim tuesday shot second u.s. spi plane less month,0,0.3,0.7
unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home,0,0.3,0.7
turn editor-in-chief al jumhoria newspap appoint ambassador iraq india,0,0.6,0.4
us patriot batteri shoot iraqi missil kuwait,0,0.2,0.8
prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author,0,0.4,0.6
airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport,1,0.7,0.30000000000000004
barazan eight children studi switzerland al-takr earlier file applic canton geneva 's author grant six children live geneva resid vacat short period,0,0.3,0.7
film even 's big winner bag prestigi best pictur oscar bring talli six,0,0.2,0.8
two side bloodi conflict chechnya one legitim,0,0.2,0.8
natur disast coordin author report statement guatemala citi due proxim extrem violent hurrican wind speed approach num3 km/hour may pose sever threat popul decid declar state maximum emerg,1,0.7,0.30000000000000004
seven egyptian human right organ issu plea today monday egyptian presid hosni mubarak hold account respons act tortur target resid villag egypt 's countrysid investig two capit murder last august,0,0.3,0.7
al thawra ad lahoud well awar realiz isra challeng never stop one moment escal not hamper undertak nation duti reli support lebanon faction well full support syria order achiev nation task deliv commit,1,0.5,0.5
iraq stringent econom embargo sinc august num4 invas kuwait relief worker increasingli concern health popul,1,1.0,0.0
short clash took place front hospit today right-w chilean senat ignacio perez quiron left build,1,1.0,0.0
american presid bill clinton offici open proceed note difficult task undertak want reach agreement advanc peac process one need littl time make,0,0.2,0.8
former presid bill clinton said agre presid bush 's decis confront iraq potenti weapon programm thought administr er start war num4 rather allow un weapon inspector longer carri out work,0,0.3,0.7
lillehamm olymp game organ committe said num2 countri enter match number nation num4 winter game albertvil franc,1,0.7,0.30000000000000004
former wife south african presid not ask amnesti activ not list polit report submit african nation congress truth reconcili commiss num4 num4,0,0.3,0.7
independ elect candid arif dalilah call legisl econom administr reform see urgent task,1,0.7,0.30000000000000004
kidnap argentina increas fivefold last two year offici figur show,1,1.0,0.0
al-koshah 's event surfac british sunday telegraph newspap publish last octob num2 articl accus egyptian polic crucifi rape copt,0,0.5,0.5
two western citizen one british three policemen two kidnapp wound attack end arrest num2 kidnapp,0,0.6,0.4
group own train camp abyan mountain membership estim num3 person,0,0.3,0.7
true path parti leadership former foreign minist tansu ciller submit memorandum follow air record tape contain inform disclos businessman korkmaz yigit yesterday even tuesday via two televis channel own,0,0.8,0.19999999999999996
american presid face thursday vote hous repres may becom second presid histori unit state vote remov hous repres,0,0.7,0.30000000000000004
yigit say prime minist minist state economi gune taner knew relationship bought state-own turkish commerci bank last juli num3 million dollar,1,0.4,0.6
defens depart spokesman kenneth bacon said secretari cohen confid meet unit state get support need take appropri measur back unit nation,0,0.5,0.5
report today chines peopl newspap central bank china nation monetari author approv use euro first week januari,1,1.0,0.0
egyptian televis prepar film seri highlight uniti cohes moslem copt singl fabric egyptian societi exemplifi particular stori former unit nation secretary-gener boutro ghali,1,0.9,0.09999999999999998
although result azerbaijani elect not yet offici reveal outgo presid heydar aliyev alreadi celebr win claim num2 vote,1,0.9,0.09999999999999998
parti zeroual consult past week express desir postpon elect argu interv given presid end februari short,0,0.7,0.30000000000000004
funer process head headquart unit nation develop programm baghdad funer goer held banner denounc american enemi god,1,0.7,0.30000000000000004
statement releas nelson mandela 's parti member express wish prevent releas extract report accus african nation congress violat basic human right commit apartheid year,1,0.8,0.19999999999999996
although hospit insist king hussein not fulli free cancer hope recov,0,0.3,0.7
no doubt would happi intern climat calmer world crisi not affect move euro,0,0.5,0.5
economi creat num3 num3 new job disappoint num3 num3 june,0,0.8,0.19999999999999996
toll rose particularli nicaragua discoveri num3 bodi town juaoli practic destroy northern part countri hundr flank casita volcano near posoltega num3 kilomet northwest managua mudslid last friday eras five villag exist,1,1.0,0.0
speak red sea resort sharm el-sheikh said accusingli christina lamb british journalist respons sunday telegraph articl known well isra,1,0.9,0.09999999999999998
well-known businessman repres badi flaha whose term expir thought reform essenti develop economi syria prefer implement slowli assuredli,1,0.6,0.4
although report recognis african nation congress no polici tortur not deni congress resort mass tortur num4 's,1,0.7,0.30000000000000004
confer haiti call aristid hope ralli world support tighten u.n.-ord oil arm embargo design punish haitian militari,1,0.7,0.30000000000000004
debacl mark new low eros spd 's popular began shortli mr schroeder 's elect num4 trend acceler chancellor unveil agenda num4 packag pain econom reform march num4,1,0.8,0.19999999999999996
audrey seiler fake abduct march,0,0.3,0.7
german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt,0,0.4,0.6
order concentr upcom releas pentium num intel delay pentium iii numnum2ghz relaunch,0,0.4,0.6
even light unparallel declin spd 's result june num2 european elect qualit differ charact,1,1.0,0.0
excess amount pesticid chemic fertil may poison huge tract india,0,0.2,0.8
statist anorexia strike one everi num3 teen-ag girl young women,1,0.7,0.30000000000000004
miramax paid moor num million film plan summer releas date two organ mount campaign against,0,0.2,0.8
feder juri need four hour return death sentenc against chadrick fulk plead guilti kidnap carjack result death horri counti woman,1,0.9,0.09999999999999998
mari kate olsen rehab cocain addict,0,0.2,0.8
coyot shot bite girl vanier park,0,0.2,0.8
john kerri newli energis upcom elect battl against georg bush secretari state visit beleagu iraqi capit us administr 's polici ruin,0,0.3,0.7
among issu vice presid 's agenda human right environ possibl visit bill clinton china next year controversi alleg chines polit contribut,0,0.5,0.5
clinton order missil strike against iraq decemb num4 not press aggress un inspector return,1,0.9,0.09999999999999998
cost secur world leader gather near auchterard next year 's g8 summit expect top num3 million,1,0.9,0.09999999999999998
germani spain send troop afghanistan,0,0.4,0.6
juan antonio samaranch presid intern olymp committe left lillehamm sarajevo pay tribut besieg host citi num4 winter game,1,0.9,0.09999999999999998
num4 franc 's presid jacqu chirac publicli predict israel-syria agreement would sign end num4,0,0.5,0.5
three year exil washington aristid protect secret servic num2 hour day last week exil amid frenzi prepar return haiti aristid took time out thank american help administr,1,0.9,0.09999999999999998
